BHID,FROM,TO,AU,CU,DENSITY
VB4267,214.86839294,215.36839294,6.01999998,5.30000019,3.76999998
VB4267,215.36839294,216.86839294,6.01999998,5.30000019,4.71000004
VB4267,216.86839294,218.86839294,0.41999999,0.60000002,3.08999991
VB4267,218.86839294,220.86839294,0.13,-,-
VB4267,220.86839294,222.86839294,0.47,0.60000002,3.08999991
VB4267,222.86839294,224.86839294,1.47000003,1.5,4.40999985
VB4267,224.86839294,226.86839294,0.72000003,0.80000001,3.47000003
VB4267,226.86839294,228.86839294,0.67000002,0.80000001,3.5
VB4267,228.86839294,230.86839294,1.36000001,1.39999998,4.3499999
VB4267,230.86839294,232.86839294,1.17999995,1.29999995,4.26999998
VB4267,232.86839294,234.86839294,1.20000005,1.29999995,4.28000021
VB4267,234.86839294,236.96839905,1.51999998,1.60000002,4.46000004
VB4267,236.96839905,237.56840515,1.51999998,1.60000002,4.36999989
VB4267,237.56840515,244.86839294,-,-,3.25999999
VB4269,120.88339996,198.18330383,-,-,2.76999998
VB4269,198.38340759,200.38340759,7.21000004,4.4000001,3.61999989
VB4269,200.38340759,202.38340759,4.19999981,2.79999995,3.13000011
VB4269,202.38340759,204.38340759,5.11000013,3.4000001,3.3499999
VB4269,204.38340759,206.38340759,2.79999995,2,2.86999989
VB4269,206.38340759,208.38340759,0.14,0.40000001,-
VB4269,208.38340759,210.38340759,0.56,0.60000002,-
VB4269,210.38340759,212.38340759,0.56,0.60000002,-
VB4269,212.38340759,214.38340759,0.83999997,0.80000001,3.52999997
VB4269,214.38340759,215.98339844,3.1500001,2.4000001,4.63000011
VB4269,215.98339844,218.38340759,0.56,0.60000002,3.08999991
VB4269,218.38340759,220.38340759,1.45000005,1.29999995,4.28000021
VB4269,220.38340759,222.88340759,0.19,0.40000001,2.8499999
VB4269,229.58329773,230.38340759,0.69,0.80000001,3.52999997
VB4269,230.38340759,232.38340759,0.86000001,0.89999998,3.72000003
VB4269,232.38340759,234.38340759,1.08000004,1.10000002,4.07000017
VB4270,169.54989624,249.84989929,-,-,2.81999993
VB4270,251.54989624,253.54989624,2.30999994,1.70000005,-
VB4270,253.54989624,255.54989624,0.49000001,0.60000002,-
VB4270,255.54989624,257.54989624,0.41999999,0.5,-
VB4270,263.54989624,265.54989624,0.68000001,0.69999999,3.25999999
VB4270,265.54989624,267.54989624,0.51999998,0.60000002,3.0999999
VB4270,267.54989624,269.54989624,1.51999998,1.29999995,4.28999996
VB4270,269.54989624,271.54989624,1.45000005,1.29999995,4.28999996
VB4270,271.54989624,273.54989624,1.42999995,1.29999995,4.28999996
VB4270,273.54989624,275.54989624,0.93000001,0.89999998,3.72000003
VB4270,275.54989624,277.54989624,0.98000002,1,3.93000007
VB4270,277.54989624,279.54989624,1.33000004,1.29999995,4.30000019
VB4270,279.54989624,281.54989624,1.32000005,1.29999995,4.32000017
VB4270,281.54989624,283.54989624,0.72000003,0.80000001,3.52999997
VB4270,283.54989624,285.54989624,1.19000006,1.20000005,4.19999981
VB4270,285.54989624,286.54989624,1.27999997,1.29999995,4.32000017
VB4270,286.54989624,304.54989624,-,-,3.25999999
VB4271,147.15640259,233.75630188,-,-,2.83999991
VB4271,233.75630188,235.15640259,1.25999999,1.10000002,-
VB4271,235.15640259,237.15640259,0.98000002,0.89999998,-
VB4271,237.15640259,239.15640259,2.86999989,2.29999995,2.97000003
VB4271,239.15640259,241.15640259,0.61000001,0.69999999,-
VB4271,241.15640259,241.75630188,0.74000001,0.80000001,-
VB4271,241.75630188,243.15640259,0.74000001,0.80000001,3.56999993
VB4271,243.15640259,245.15640259,1.13,1.10000002,4.07000017
VB4271,245.15640259,247.15640259,0.44,0.60000002,3.0999999
VB4271,247.15640259,249.15640259,0.83999997,0.89999998,3.72000003
VB4271,249.15640259,251.15640259,1.46000004,1.39999998,4.36000013
VB4271,251.15640259,253.15640259,1.00999999,1,3.93000007
VB4271,253.15640259,255.15640259,1.03999996,1.10000002,4.0999999
VB4271,255.15640259,257.15640259,0.73000002,0.80000001,3.56999993
VB4271,257.15640259,259.15640259,0.28,0.40000001,2.8499999
VB4271,259.15640259,261.15640259,1.66999996,1.60000002,4.46000004
VB4271,261.15640259,263.15640259,1.04999995,1.10000002,4.13000011
VB4271,263.15640259,265.15640259,0.99000001,1.10000002,4.13999987
VB4271,265.15640259,267.15640259,0.54000002,0.69999999,3.25999999
VB4271,267.15640259,269.15640259,0.41999999,0.60000002,3.0999999
VB4271,269.15640259,270.65640259,0.54000002,0.69999999,3.27999997
VB4271,270.65640259,279.15640259,-,-,3.25999999
VB4272,99.95594025,198.2559967,-,-,2.83999991
VB4272,201.4559021,202.9559021,6.44000006,5,3.67000008
VB4272,202.9559021,204.9559021,3.92000008,3.20000005,4.65999985
VB4272,204.9559021,206.9559021,18.40999985,14.39999962,4.73999977
VB4272,206.9559021,210.9559021,0.61000001,0.69999999,3.27999997
VB4272,210.9559021,212.9559021,1.28999996,1.29999995,4.32000017
VB4272,212.9559021,214.9559021,1.64999998,1.60000002,4.48999977
VB4272,214.9559021,216.9559021,0.94,1,3.93000007
VB4272,216.9559021,218.9559021,1.10000002,1.10000002,3.8499999
VB4272,218.9559021,220.9559021,0.94,1,3.8499999
VB4272,220.9559021,222.9559021,1.07000005,1.10000002,3.96000004
VB4272,222.9559021,224.9559021,0.94,1,3.8499999
VB4272,224.9559021,237.4559021,-,-,3.25999999
VB4272,237.4559021,247.65589905,-,-,3.25999999
VB4280,96.52160645,167.92160034,-,-,2.88000011
VB4280,192.02160645,194.52160645,3.5,2.5999999,3.06999993
VB4280,194.52160645,196.52160645,2.30999994,1.89999998,2.79999995
VB4280,196.52160645,198.52160645,2.17000008,1.79999995,2.74000001
VB4280,198.52160645,200.52160645,1.25999999,1.20000005,-
VB4280,200.52160645,202.52160645,1.47000003,1.29999995,-
VB4280,202.52160645,204.52160645,1.12,1.10000002,-
VB4280,206.52160645,208.52160645,0.34999999,0.5,-
VB4280,208.52160645,210.52160645,1.25999999,1.20000005,-
VB4280,210.52160645,212.52160645,1.96000004,1.79999995,4.48999977
VB4280,212.52160645,214.52160645,1.96000004,1.79999995,4.51000023
VB4280,214.52160645,216.52160645,3.71000004,3.29999995,4.67000008
VB4280,218.52160645,220.52160645,0.03,-,-
VB4280,222.52160645,224.52160645,0.49000001,0.60000002,3.0999999
VB4280,224.52160645,226.52160645,0.76999998,0.89999998,3.73000002
VB4280,226.52160645,228.02160645,0.88,1,3.95000005
VB4280,234.92160034,240.32159424,-,-,3.27999997
VB4281,159.71560669,220.01559448,-,-,2.88000011
VB4281,235.81559753,236.71560669,6.23000002,3.9000001,3.49000001
VB4281,236.71560669,238.71560669,11.89999962,7.30000019,3.81999993
VB4281,238.71560669,240.71560669,1.67999995,1.29999995,-
VB4281,240.71560669,242.71560669,2.17000008,1.60000002,-
VB4281,242.71560669,244.71560669,0.98000002,0.89999998,-
VB4281,244.71560669,246.71560669,0.20999999,0.40000001,-
